symptom_name,medical_term,category,severity_indicators
fever,pyrexia,vital_sign,high_fever:>40C,moderate_fever:38-40C
headache,cephalgia,neurological,severe_throbbing:8-10/10,mild_dull:1-3/10
cough,tussis,respiratory,productive_cough,dry_cough,severe_cough
body_ache,myalgia,musculoskeletal,severe_pain,mild_discomfort
nausea,nausea,gastrointestinal,with_vomiting,without_vomiting
vomiting,emesis,gastrointestinal,persistent_vomiting,occasional_vomiting
diarrhea,diarrhea,gastrointestinal,severe_dehydration,mild_loose_stools
abdominal_pain,abdominal_pain,gastrointestinal,severe_cramping,mild_discomfort
fatigue,asthenia,systemic,extreme_weakness,mild_tiredness
chest_pain,thoracic_pain,cardiovascular,acute_severe_pain,mild_discomfort
difficulty_breathing,dyspnea,respiratory,acute_respiratory_distress,mild_shortness_of_breath
rash,exanthem,dermatological,widespread_petechial,localized_urticaria
bleeding,hemorrhage,hematological,severe_bleeding,mild_bleeding
joint_pain,arthralgia,musculoskeletal,severe_inflammation,mild_pain
sore_throat,pharyngitis,respiratory,severe_pain_swallowing,mild_scratchy
runny_nose,rhinitis,respiratory,nasal_congestion,runny_discharge
eye_pain,ocular_pain,ophthalmological,severe_photophobia,mild_discomfort
weakness,asthenia,neurological,unable_to_walk,reduced_activity
confusion,delirium,neurological,acute_disorientation,mild_forgetfulness
chills,rigors,vital_sign,severe_shaking,mild_shivering
dizziness,vertigo,neurological,severe_spinning,mild_lightheadedness
back_pain,lumbalgia,musculoskeletal,severe_acute_pain,chronic_dull_pain
urinary_frequency,polyuria,urological,frequent_micturition,normal_frequency
loss_of_appetite,anorexia,gastrointestinal,complete_anorexia,reduced_appetite
high_blood_pressure,hypertension,cardiovascular,>180/110,140-160/90-100
low_blood_pressure,hypotension,cardiovascular,<90/60,90-100/60-70
rapid_heartbeat,tachycardia,cardiovascular,>120_bpm,100-120_bpm
shortness_of_breath,dyspnea,respiratory,at_rest,on_exertion
bloody_cough,hemoptysis,respiratory,massive_bleeding,minor_streaking
